Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,ITIC,Spin-coating,0.795848601524686,Chlorobenzene,PTAA,TAPC,AgAl,95.81463500651499,0,60; 105-45.0; 70.0,0.9583854841449604
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Evaporation,NH4Cl,E2CA,Spin-coating,0.8055678208406019,Chlorobenzene,PTAA,LAD,Ag,400.471863542504,0,100.0-15.0,0.9582192630588608
pin,SLG | ITO,SnO2-np,Undoped,Spin-coating,Stoichiometric,HATNA,Spin-coating,0.748760242511465,Diethyl ether,PTAA,PolyTPD,AgAl,82.18623916958012,0,60; 80-1.0; 80.0,0.9577470772686526
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,PMA,Spin-coating,0.8737504845670039,Diethyl ether,PTAA,TAPC,AgAl,100.92435479095876,0,65; 100-2.0; 5.0,0.9577015169733385
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,Diiodooctane,Spin-coating,0.7147654321246474,Chlorobenzene,PTAA,NPB,AgAl,91.49272232997697,0,60; 80-1.0; 80.0,0.9576852497032997
nip,SLG | FTO,TiO2-c,Undoped,Evaporation,PbI2,PPC,Spin-coating,0.9707428772197187,Diethyl ether,PTAA,LAD,AgAl,151.91290199687,0,100.0-100.0,0.9574860513371187
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Spin-coating,PbI2,SQ45,Spin-coating,0.7719715516362735,Ethyl acetate,PTAA,LAD,AgAl,334.20256677709216,0,100.0-3.0,0.9574755945493976
nip,SLG | FTO,SnO2-c,Ti3C2,Spin-coating,Pb,Rb,Spin-coating,0.7858365257086983,Chlorobenzene,PTAA,Li-TFSI,Al,313.88195137310703,0,100.0-35.0,0.957264665836262
nip,SLG | FTO,SnO2-np,Zr,Spin-coating,PbI2,PVA,Spin-coating,0.7588903308032363,Chlorobenzene,PTAA,LAD,AgAl,338.19576806358475,0,100.0-12.0,0.9570754272017568
nip,SLG | FTO,SnO2-c,Undoped,Spin-coating,NH4Cl,E2CA,Spin-coating,0.7601302604211483,Chlorobenzene,PTAA,Li-TFSI,Ag,314.48188503790095,0,100.0-15.0,0.9570090129263696
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,ITIC; PCBM-60,Spin-coating,0.7660079508592677,Chlorobenzene,PTAA,TAPC,AgAl,90.47137545150353,0,60; 100-5.0; 10.0,0.9569335285096137
nip,SLG | FTO,TiO2-c,Undoped,E-beam evaporation,PbI2,PAA,Spin-coating,0.9649987120989418,Diethyl ether,PTAA,LAD,AgAl,153.93133501989993,0,100.0-15.0,0.9569144289131133
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,Carbon-nt,Spin-coating,0.797816881229175,Chlorobenzene,PTAA,NPB,Ag,93.6310321654129,0,60; 100-1.0; 5.0,0.9568132141426341
nip,SLG | FTO,TiO2-c,Zn,Spin-coating,PbI2,TMS,Spin-coating,0.9738308225216882,Diethyl ether,PTAA,Li-TFSI,AgAl,141.71803725357523,0,100.0-30.0,0.9567626933778418
nip,SLG | FTO,TiO2-c,TOPD,Spin-coating,PbI2,Carbon-np,Spin-coating,0.9101181667740069,Toluene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,86.28629178850817,0,100.0-7.0,0.9565113491282067
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,Ni,Spin-coating,0.809163034288831,Chlorobenzene,PTAA,TAPC,AgAl,83.96850025776814,0,60.0; 100.0-5.0; 10.0,0.9564125714908178
pin,SLG | ITO,PCBM-60 | bis-C60,Undoped,Spin-coating | Spin-coating,Stoichiometric,Methimazole,Spin-coating,0.8877390283486493,Diethyl ether,PTAA,NPB,AgAl,125.67981303516315,0,50; 100-5.0; 10.0,0.956350886890295
nip,SLG | FTO,SnO2-c,La,Spin-coating,NH4Cl,Rb,Spin-coating,0.7355422273528515,Diethyl ether,PTAA,Li-TFSI,Ag,380.9599221504132,0,100.0-120.0,0.955923585191205
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,PbAc2,CsPbBr3-np,Spin-coating,0.8139448059272775,Chlorobenzene,PTAA,TAPC,AgAl,93.81268316751522,0,20; 90-30.0; 180.0,0.9557159613868291
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,ITIC,Spin-coating,0.7724883984548325,Chlorobenzene,PTAA,TAPC,AgAl,109.7419248128589,0,60; 100-1.0; 10.0,0.9551812438590309
pin,SLG | ITO,PCBM-60 | LiF,DIO,Spin-coating | Evaporation,PbI2,Rb,Spin-coating,0.8043692637018768,Diethyl ether,PTAA,NPB,AgAl,89.96097003681932,0,60.0-30.0,0.954844164720375
nip,SLG | FTO,SnO2-c,MoCl5,Spin-coating,NH4Cl,DCL97,Spin-coating,0.8374444043626088,Chlorobenzene,PTAA,LAD,AgAl,262.37622855796064,0,65.0; 100.0-1.0; 5.0,0.9545681897953243
nip,SLG | FTO,SnO2-c,Bi2O2S-np,Spin-coating,PbI2,SnS-QDs,Spin-coating,0.726872791617127,Chlorobenzene,PTAA,O2,AgAl,318.08649613378327,0,100.0-25.0,0.9544711624555652
pin,SLG | ITO,PCBM-60 | bis-C60,Undoped,Spin-coating | Spin-coating,PbI2; PbBr2,Methimazole,Spin-coating,0.8001781288453432,Diethyl ether,PTAA,TAPC,AgAl,112.12508641394294,0,60.0-5.0,0.9544281344236981
nip,SLG | FTO,SnO2-c,MoCl5,Spin-coating,NH4Cl,Cs,Spin-coating,0.7783054791607941,Diethyl ether,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,157.29451362202516,0,50; 100-3.0; 10.0,0.954411129819324
nip,SLG | FTO,SnO2-c,Graphene-QDs,Spin-coating,Pb,PVA,Spin-coating,0.8595842272780081,Chlorobenzene,PTAA,LAD,AgAl,314.6778315703115,0,60; 100-1.0; 7.0,0.9539497122279308
nip,SLG | FTO,SnO2-np,Potassium O-hexyl xanthate,Spin-coating,PbI2,Isatin-Cl,Spin-coating,0.7596385245792241,Chlorobenzene,PTAA,O2,AgAl,321.6373827911041,0,100.0-15.0,0.9537214086406981
nip,SLG | FTO,SnO2-np,Potassium O-hexyl xanthate,Spin-coating,Pb,CdCl2,Spin-coating,0.87035207170285,Diethyl ether,PTAA,O2,AgAl,289.75789000490977,0,65.0; 100.0-1.0; 5.0,0.9536772159291571
nip,SLG | FTO,SnO2-c,Ti3C2,Spin-coating,Pb,SnS-QDs,Spin-coating,0.8508829605075059,Chlorobenzene,PTAA,Li-TFSI,AgAl,298.6928220340917,0,100.0-7.0,0.9536460834020399
nip,SLG | FTO,SnO2-c,Undoped,Evaporation,PbCl2,Graphene oxide,Spin-coating,0.7135927875431795,Chlorobenzene,PTAA,TPFB,AgAl,309.86012506844475,0,100.0-6.0,0.9535603846292251
pin,SLG | ITO,PCBM-60 | LiF,DIO,Spin-coating | Evaporation,PbAc2,Ni,Spin-coating,0.8069929699259235,Chlorobenzene,PTAA,TAPC,AgAl,65.4539622730945,0,60; 80-1.5; 2.0,0.9535466547746465
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,CBD | Spin-coating,NH4Cl,FACl,Spin-coating,0.8444819694333502,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,Ag,359.0588479210617,0,100.0-144.0,0.9534397644871979
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,Diiodooctane,Spin-coating,0.7783452074478534,Chlorobenzene,PTAA,TAPC,Al,78.10331312658579,0,25; 100-10.0; 5.0,0.953383879487537
pin,SLG | ITO,PCBM-60 | LiF,PNDI-2T ,Spin-coating | Evaporation,PbI2; PbBr2,Diiodooctane,Spin-coating,0.8933360217718191,Chlorobenzene,PTAA,NPB,AgAl,87.98077460830596,0,50; 100-2.0; 10.0,0.9530536931005028
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,Stoichiometric,Diiodooctane,Spin-coating >> CBD,0.7865644953603887,Chlorobenzene,PTAA,NPB,AgAl,93.03556939460101,0,25; 100-10.0; 60.0,0.9529671752243265
