Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_additives_compounds,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_additives_compounds,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing
nip,SLG | FTO,TiO2-c | TiO2-nw,Undoped,CBD | Hydrothermal,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,0.8,20.4,0.63,10.3,0,110-60.0
nip,SLG | FTO,TiO2-c | TiO2-nw, Er,CBD | Hydrothermal,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,0.83,21.3,0.64,11.5,0,110-60.0
nip,SLG | FTO,TiO2-c | TiO2-nw, Er; Yb,CBD | Hydrothermal,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,0.87,21.7,0.66,12.9,0,110-60.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,60.0,Evaporation,0.913,15.77,0.7,10.0,0,100.0-5.0
nip,SLG | FTO,TiO2-c | TiO2-mp, TiCl4,Spin-coating | Spin-coating,1,MA,Undoped,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,1.08,21.7,0.725,17.0,0,100.0-5.0
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,PTAA,Undoped,Spin-coating,Ag,100.0,Evaporation,0.87,19.63,0.708,12.11,0,100.0-60.0
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,PTAA,PolyTPD,Spin-coating,Ag,100.0,Evaporation,0.87,20.81,0.74,13.42,0,100.0-60.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,BMII,Spin-coating >> CBD,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,1.04,21.58,0.7,15.6,1,100.0-30.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating >> CBD,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,0.96,19.4,0.68,12.58,1,100.0-30.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,90.0,Evaporation,1.0,20.0,0.65,13.0,0,60; 105-45.0; 70.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Cl; PEG,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,90.0,Evaporation,1.1,23.0,0.68,17.2,0,60; 105-45.0; 70.0
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,1,none,Cl; MoOx-np,Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.9,22.55,0.7040000000000001,14.34,0,100.0-5.0
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.89,22.55,0.754,15.15,0,100.0-5.0
nip,SLG | ITO,TiO2-c,Undoped,Spin-coating,1,MAI,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,100.0,Evaporation,0.67,7.74,0.29,1.46,0,100.0-60.0
nip,SLG | FTO,TiO2-c,HCl,Spin-coating,1,MAI,HPbI3 | Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,70.0,Evaporation,1.05,21.76,0.762,17.42,0,85-60.0
nip,SLG | FTO,TiO2-c,HCl,Spin-coating,1,PbI2,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,70.0,Evaporation,1.03,20.84,0.74,15.92,0,85-60.0
nip,SLG | FTO,TiO2-c,HCl,Spin-coating,1,MAI,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,70.0,Evaporation,0.98,20.99,0.6779999999999999,14.09,0,85-60.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,CsPbBr-np,Spin-coating,0.7,Chlorobenzene,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,100.0,Evaporation,1.08,22.5,0.7609999999999999,18.51,0,100.0-15.0
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating >> Spin-coating,0.8333333333333334,Undoped,Undoped,0,NiO-c,Cu,Spin-coating,Ag,100.0,Evaporation,1.03,21.11,0.78,17.0,1,120-20.0
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating >> Spin-coating,0.8333333333333334,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.94,20.24,0.71,13.6,1,120-20.0
nip,SLG | ITO,C60,Undoped,Evaporation,1,MAI,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,100.0,Evaporation,0.95,18.75,0.642,11.4,0,100.0-50.0
nip,SLG | ITO,ZnO-c,Undoped,Spin-coating,1,MAI,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,100.0,Evaporation,0.97,21.57,0.619,12.9,0,100.0-50.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating,1.0,Chlorobenzene,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.86,16.72,0.66,9.55,0,110.0-30.0
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.7,Undoped,Undoped,0,NiO-c,Undoped,Evaporation,Ag,150.0,Evaporation,0.9,18.92,0.606,10.32,0,60.0; 100.0-5.0; 10.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Au,80.0,Evaporation,0.995,20.8,0.64,13.0,0,100.0-90.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,JQ1; Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.07,22.0,0.65,15.4,0,100.0-90.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,JQ2; Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.07,22.5,0.64,15.7,0,100.0-90.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,JQ3; Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.09,21.9,0.72,17.5,0,100.0-90.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.09,22.0,0.74,18.0,0,100.0-90.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,100.0,Evaporation,1.0,19.92,0.61,12.1,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Cl | ZnCl2,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,100.0,Evaporation,1.04,20.61,0.67,14.4,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MAI,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,150.0,Evaporation,1.03,21.6,0.72,15.6,0,100.0-90.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,0.92,17.27,0.6,9.4,0,110.0-30.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Cl,Spin-coating,1.0,Ethyl acetate,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,0.7,7.48,0.37,1.86,0,110.0-10.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Cl,Spin-coating,1.0,Ethyl acetate,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,0.94,20.36,0.57,10.78,0,110.0-30.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Cl,Spin-coating,1.0,Ethyl acetate,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,0.68,11.31,0.41,3.08,0,110.0-40.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Cl,Spin-coating,1.0,Ethyl acetate,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,0.82,10.6,0.47,4.32,0,110.0-60.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Cl,Spin-coating,1.0,Ethyl acetate,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,0.78,13.86,0.55,5.83,0,110.0-80.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating,1.0,Chlorobenzene,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Al,100.0,Evaporation,0.98,17.47,0.72,12.3,0,100.0-10.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,100.0,Evaporation,1.03,20.58,0.71,15.01,0,95.0-40.0
pin,SLG | ITO,PCBM-60 | BCP,Undoped,Evaporation | Evaporation,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Al,100.0,Evaporation,0.62,9.39,0.66,3.9,0,100.0-5.0
pin,SLG | ITO,PCBM-60 | BCP,Undoped,Evaporation | Evaporation,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,NiO-c,Undoped,Spin-coating,Al,100.0,Evaporation,0.92,12.43,0.68,7.8,0,100.0-5.0
pin,SLG | ITO,C60 | BCP,Undoped,Evaporation | Evaporation,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,NiO-c,Undoped,Spin-coating,Al,100.0,Evaporation,0.74,12.95,0.6,5.7,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,150.0,Evaporation,0.813,5.55,0.413,1.86,0,100.0-45.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,150.0,Evaporation,1.004,17.9,0.607,10.91,0,100.0-45.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Au,80.0,Evaporation,1.07,22.41,0.67,16.02,0,110.0-5.0
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,1,none,Pb(SCN)2,Spin-coating,0.9,Diethyl ether,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.93,16.43,0.728,11.12,0,60.0; 100-2.0; 5.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.8,Ethyl acetate,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,0.95,20.56,0.638,15.09,0,100.0-10.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating >> CBD,1.0,Undoped,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,0.96,20.9,0.71,14.2,1,70-60.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.9,Chlorobenzene,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,70.0,Evaporation,0.96,12.89,0.54,6.75,0,100.0-10.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating >> Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,0.94,15.8,0.57,8.01,1,100.0-15.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Cl,Spin-coating,0.7,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Ag,150.0,Evaporation,0.95,18.0,0.45,8.0,0,100.0-35.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.7,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Ag,150.0,Evaporation,0.8,15.0,0.43,5.0,0,100.0-35.0
nip,SLG | FTO,TiO2-c,Undoped,Spray-pyrolys,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,60.0,Evaporation,1.05,20.68,0.7,15.33,0,100.0-60.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,60.0,Evaporation,1.08,21.04,0.75,17.05,0,100.0-60.0
nip,SLG | ITO,ZnO-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating >> Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,100.0,Evaporation,1.022,19.02,0.598,10.94,1,80-10.0
nip,SLG | ITO,SnO2-c,Undoped,Spin-coating,1,none,Cl,Spin-coating >> Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Au,80.0,Evaporation,0.96,19.81,0.55,10.41,1,100.0-60.0
nip,SLG | ITO,SnO2-c,Undoped,Spin-coating,1,none,Cl,Spin-coating >> Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.08,20.9,0.66,14.94,1,100.0-60.0
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,1,MAI,Undoped,Spin-coating,0.9,2-Butanol,Undoped,1,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.97,18.33,0.76,13.5,0,100.0-20.0
nip,SLG | ITO,SnO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.9,Diethyl ether,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,100.0,Evaporation,1.09,23.38,0.733,19.95,0,65; 100-1.0; 2.0
pin,SLG | FTO,PCBM-60 | bis-C60,Undoped,Spin-coating | Spin-coating,1,none,"1,8-diiodooctane",Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,150.0,Evaporation,0.85,10.6,0.38,3.4,0,90.0-180.0
pin,SLG | FTO,PCBM-60 | bis-C60,Undoped,Spin-coating | Spin-coating,1,none,"1,8-diiodooctane; Cl",Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,150.0,Evaporation,0.89,16.0,0.74,10.5,0,90.0-180.0
nip,SLG | ITO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.5,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Au,80.0,Evaporation,1.02,16.48,0.617,10.33,0,110.0-10.0
nip,SLG | ITO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.1,21.18,0.833,20.27,0,100.0-10.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Au,80.0,Evaporation,1.01,22.71,0.68,15.61,0,130.0-90.0
nip,SLG | FTO,SnO2-c,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Au,100.0,Evaporation,1.01,22.56,0.696,15.85,0,130.0-90.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Al,100.0,Evaporation,0.97,20.4,0.625,12.4,0,100.0-60.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,1.0,Chlorobenzene,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,100.0,Evaporation,1.03,22.64,0.736,17.2,0,100.0-10.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,FeOOH-QDs,Spin-coating,1.0,Chlorobenzene,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,100.0,Evaporation,1.06,23.95,0.775,19.7,0,100.0-10.0
nip,SLG | ITO,SnO2-np,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.9,Ethyl acetate,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.069,23.58,0.728,18.35,0,65; 135-1.0; 3.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating >> Spin-coating,0.85,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,60.0,Evaporation,0.91,19.24,0.55,9.63,1,100.0-60.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.05,20.3,0.76,16.25,0,100.0-10.0
nip,SLG | ITO,SnO2-np,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.9,Chlorobenzene,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.02,22.5,0.752,17.6,0,100.0-30.0
nip,SLG | FTO,TiO2-c,Undoped,CBD,1,none,Undoped,Spin-coating >> Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.03,20.5,0.626,13.84,1,100.0-30.0
pin,SLG | ITO,PCBM-60 | bis-C60,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,0.9,Chlorobenzene,Undoped,0,NiO-c,Undoped,Spin-coating,Ag,100.0,Evaporation,1.01,19.8,0.7,14.69,0,100.0-10.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.9,Undoped,Undoped,0,NiO-c,Undoped,Spin-coating,Ag,100.0,Evaporation,0.47,3.71,0.364,0.63,0,100.0-10.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,PEO,Spin-coating,0.9,Undoped,Undoped,0,NiO-c,Undoped,Spin-coating,Ag,100.0,Evaporation,0.89,14.86,0.5710000000000001,7.52,0,100.0-10.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,0.7,Toluene,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,,,,18.0,0,100.0-25.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.04,20.43,0.74,15.73,0,150.0-15.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,HMPA,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.072,21.02,0.758,17.09,0,150.0-15.0
nip,SLG | FTO,TiO2-c,Undoped,Spray-pyrolys,1,none,Undoped,Spin-coating,0.9,Chlorobenzene,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,0.98,21.1,0.635,13.1,0,100.0-10.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating >> Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI,Spin-coating,Au,120.0,Evaporation,0.984,17.4,0.545,9.39,1,100.0-15.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.9090909090909092,Chlorobenzene,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.9,17.0,0.68,11.4,0,100.0-3.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.9090909090909092,Chlorobenzene,Undoped,0,PEDOT:PSS,NaCl,Electrodeposition,Ag,100.0,Evaporation,0.9,15.0,0.7,11.2,0,100.0-3.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.9090909090909092,Chlorobenzene,Undoped,0,PEDOT:PSS,Undoped,Electrodeposition,Ag,100.0,Evaporation,0.88,13.0,0.7,9.0,0,100.0-3.0
nip,SLG | FTO,TiO2-c | TiO2-mp, TiCl4,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,0.9,Diethyl ether,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,150.0,Evaporation,1.09,22.5,0.75,18.4,0,65; 100-1.0; 2.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,60.0,Evaporation,1.07,22.77,0.747,18.22,0,100.0-60.0
nip,SLG | FTO,TiO2-c | TiO2-mp, TiCl4,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,0.8,Diethyl ether,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,100.0,Evaporation,1.01,20.61,0.66,13.67,0,65; 100-1.0; 10.0
nip,SLG | ITO,SnO2-c,Undoped,Sputtering,1,none,Undoped,Spin-coating,0.875,Diethyl ether,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.02,21.1,0.69,14.8,0,100.0-30.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Cl,Spin-coating >> Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.022,16.0,0.67,10.96,1,80.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spray-pyrolys,1,none,Cl,Spin-coating,0.0,Undoped,Undoped,0,PTAA,Li-TFSI; TBP,Spin-coating,Au,70.0,Evaporation,1.05,20.1,0.74,15.6,0,100.0-2.0
pin,SLG | ITO,C60 | BCP,Undoped,Evaporation | Evaporation,1,none,Undoped,Spin-coating,1.0,Chlorobenzene,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.79,22.9,0.731,13.3,0,100.0-10.0
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,1,none,Cl; H2O,Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,120.0,Evaporation,0.95,20.19,0.733,7.0,0,105.0-40.0
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,120.0,Evaporation,0.9,18.65,0.693,11.17,0,105.0-40.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,1.0,Toluene,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Au,100.0,Evaporation,1.074,21.56,0.75,17.36,0,100.0-30.0
pin,SLG | ITO,PCBM-60 | BCP,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,0.9,Toluene,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.92,18.96,0.79,13.82,0,100.0-10.0
pin,SLG | ITO,C60 | BCP,Undoped,Evaporation | Evaporation,1,none,Cl,Electrospraying,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Al,100.0,Evaporation,0.87,19.71,0.55,9.3,0,110.0-60.0
