Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_additives_compounds,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_additives_compounds,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,1,none,Undoped,Spin-coating >> Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Al,120.0,Evaporation,0.69,13.3,0.544,5.0,1,100.0-60.0
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,1,none,Undoped,Spin-coating >> Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Al,120.0,Evaporation,0.97,17.8,0.6459999999999999,11.1,1,90.0-60.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating >> CBD,0.9,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,120.0,Evaporation,1.07,13.0,0.784,10.9,1,60.0-30.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating >> CBD,0.9,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,120.0,Evaporation,1.08,20.8,0.763,17.1,1,130.0-30.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,1.0,Diethyl ether,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,100.0,Evaporation,1.06,17.6,0.7,13.1,0,100.0-10.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,0.9,16.8,0.66,10.03,0,100.0-45.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,9.0,Evaporation,0.91,21.4,0.71,13.8,0,100.0-60.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,Cl; SCN,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,9.0,Evaporation,0.75,17.8,0.6,8.0,0,100.0-60.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,SCN,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,9.0,Evaporation,0.68,6.2,0.58,2.4,0,100.0-60.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,Spin-coating,Au,60.0,Evaporation,0.61,17.49,0.63,7.82,0,100.0-60.0
