Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
nip,SLG | FTO,SnO2-np,Undoped,Spin-coating,PbCl2,DMI,Spin-coating,0.9251116907216874,Diethyl ether,PTAA,F4-TCNQ,AgAl,501.85898046163425,0,60; 100-15.0; 30.0,0.9323933054446836
nip,SLG | FTO,SnO2-np,Al,Spin-coating,Pb,Rb,Spin-coating,0.81889005460384,Diethyl ether,PTAA,TPFB,AgAl,507.154507912204,0,60; 100-3.0; 20.0,0.9323460093830317
nip,SLG | FTO,SnO2-c,AlCl3,Spin-coating,PbI2; PbBr2,DA2PbI4,Spin-coating,0.5516010650965618,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,80.56595229668378,0,60.0; 80.0-1.0; 2.0,0.9323210647605784
nip,SLG | FTO,SnO2-c,La,Spin-coating,PbAc2,DCL97,Spin-coating,0.9767736032899587,Chlorobenzene,PTAA,F4-TCNQ,AgAl,535.8746421808263,0,60; 80-1.5; 2.0,0.9321767551365217
nip,SLG | FTO,SnO2-np,Al,Spin-coating,PbAc2,E2CA,Spin-coating,0.875099382355233,Chlorobenzene,PTAA,TPFB,AgAl,160.58127164167666,0,60; 100-1.0; 2.0,0.9314696232646522
nip,SLG | FTO,SnO2-c,La,Spin-coating,Pb,Carbon-nt,Spin-coating,0.8665732017994936,Chlorobenzene,PTAA,O2,AgAl,415.6671609719523,0,70-20.0,0.93142045568571
nip,SLG | FTO,PCBM-60,Undoped,Spin-coating,PbAc2,ITIC; PCBM-60,Spin-coating,0.864651292025854,Chlorobenzene,PTAA,TPFB,Al,103.64731608373896,0,60; 100-3.0; 10.0,0.9314169673009629
nip,SLG | FTO,SnO2-c,Graphene-QDs,Spin-coating,none,beta-cyclodextrin,Spin-coating,0.9798145035803127,Chlorobenzene,PTAA,LAD,AgAl,392.1378052440647,0,65.0; 100-1.0; 2.0,0.9312952014290172
nip,SLG | FTO,SnO2-c,Undoped,ALD,PbI2; PbBr2,Carbon-nt,Spin-coating,0.9256116378364154,Chlorobenzene,PTAA,Li-TFSI,AgAl,226.84266814912704,0,60; 85-1.0; 25.0,0.9312352603238974
nip,SLG | FTO,SnO2-c,Bi2O2S-np,Spin-coating,PbI2,ITIC; PCBM-60,Spin-coating,0.7411857255142048,Chlorobenzene,PTAA,LAD,Ca | Al,287.550330896884,0,60; 100-0.5; 5.0,0.9310002873230877
nip,SLG | FTO,SnO2-c,Undoped,ALD,PbI2; PbBr2,E2CA,Spin-coating,0.778631019260934,Chlorobenzene,PTAA,O2,AgAl,87.97528128256248,0,60.0; 100-2.0; 5.0,0.9309910449200957
nip,SLG | FTO,SnO2-c,La,Spin-coating,Pb,HMTA,Spin-coating,0.8551101751284875,Chlorobenzene,PTAA,F4-TCNQ,AgAl,90.47838010971411,0,60; 120-5.0; 10.0,0.9307112500996808
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Evaporation,PbI2,HMTA,Spin-coating,0.9490958779190787,Chlorobenzene,PTAA,F4-TCNQ,AgAl,265.54979951627513,0,65.0-20.0,0.9304772438181579
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,MA,Diiodooctane,Spin-coating,0.6488874163011632,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,71.29542968179945,0,65; 100-1.0; 15.0,0.9304769196638942
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Evaporation,PbAc2,Diiodooctane,Spin-coating >> CBD,0.8813420337611277,Chlorobenzene,PTAA,F4-TCNQ,AgAl,75.51745440596959,0,60; 80-1.0; 80.0,0.9300330791601443
nip,SLG | FTO,SnO2-np,Zr,Spin-coating,MACl,NH4I,Spin-coating >> CBD,0.7520789896037835,Chlorobenzene,PTAA,TPFB,AgAl,116.80321021156814,0,60; 120-5.0; 10.0,0.929989524768875
nip,SLG | FTO,SnO2-c,Ti3C2,Spin-coating,none,CsPbBr3-np,Spin-coating,0.7609664143143495,Chlorobenzene,PTAA,Li-TFSI,AgAl,414.9610350194051,0,75.0-60.0,0.9299824217352656
