Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,PbI2; PbBr2,2Ph-ox,Spin-coating,0.902292834496353,Chlorobenzene,PTAA,NPB,AgAl,108.50279205395086,0,65; 100-10.0; 10.0,0.917956032459092
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,NH4Cl,SP-3D-COF 2,Spin-coating,0.7990881663658351,Chlorobenzene,PTAA,PolyTPD,AgAl,92.45539657918897,0,100.0-70.0,0.9178852885283634
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,Stoichiometric,PPC,Spin-coating,0.4523034811177923,Diethyl ether,PTAA,PolyTPD,AgAl,107.48106554827079,0,65; 100-1.0; 15.0,0.917615556157914
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,NH4Cl,CH2I2,Spin-coating >> CBD,0.7821075989756029,Chlorobenzene,PTAA,PolyTPD,AgAl,123.6109871009205,0,100.0-45.0,0.9175859346625714
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,NH4Cl,Cl; ITIC,Spin-coating,0.7427102322450934,Chlorobenzene,PTAA,F8BT,AgAl,115.34638679363071,0,100.0-25.0,0.9174839113178056
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,Pb,Cl; IEICO-4F,Spin-coating,0.750688470791266,Chlorobenzene,PTAA,F4-TCNQ,AgAl,140.61106207473438,0,100.0-50.0,0.9174205248478907
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,Stoichiometric,Cl; DPE,Spin-coating >> CBD,0.7466979095684828,Chlorobenzene,PTAA,PolyTPD,AgAl,384.93552111996985,0,80.0-90.0,0.9172443198168075
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,PbI2,HMTA,Spin-coating,0.7492545507164574,Chlorobenzene,PTAA,F8BT,AgAl,315.94554121595206,0,65.0-270.0,0.9171846309009537
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,Stoichiometric,SA-1,Spin-coating,0.8518870979957779,Chlorobenzene,PTAA,F8BT,AgAl,139.81887207407473,0,65.0; 100.0-2.0; 4.0,0.9171712270341902
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,Pb,Cs,Spin-coating,0.7337830412222908,Diethyl ether,PTAA,F8BT,Ag,183.97442868067586,0,100.0-120.0,0.9171393391211378
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,PbI2; PbBr2,Thiourea,Spin-coating,0.9524054269071318,Chlorobenzene,PTAA,F4-TCNQ,Cu,148.12085470720282,0,60; 100-10.0; 10.0,0.9170873120039322
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,PbAc2,PbC2N2S2,Spin-coating,0.8512036454008101,Chlorobenzene,PTAA,TAPC,Al,85.24035431131199,0,100.0-95.0,0.916719688287212
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,Pb,P123,Spin-coating,0.7505633935429581,Chlorobenzene,PTAA,PolyTPD,AgAl,151.81809820422006,0,100.0-600.0,0.9162345983304541
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbCl2,PMA,Spin-coating,0.8280766470399669,Diethyl ether,PTAA,Undoped,Ag,83.67319147120986,0,100.0-105.0,0.9160932768815105
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,PbI2,CH2I2,Spin-coating >> CBD,0.9698196944922122,Chlorobenzene,PTAA,PolyTPD,AgAl,398.6315018118151,0,105-60.0,0.9158695034542916
pin,SLG | FTO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,PbCl2,FACl,Spin-coating,0.8032950170456512,Chlorobenzene,PolyTPD,F4-TCNQ,Ca | Al,120.1374501078079,0,210.0-10.0,0.9157385178809784
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,Stoichiometric,2Ph-ox,Spin-coating,0.9485567633150704,Chlorobenzene,PTAA,PolyTPD,AgAl,246.5356135537664,0,60.0-150.0,0.9157112989326706
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbAc2,PEA,Spin-coating,0.792774859167261,Chlorobenzene,PTAA,NPB,Al,397.06891670050595,0,100.0-240.0,0.9156989913232916
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbCl2,Acetate,Spin-coating,0.7253620379809695,Chlorobenzene,PTAA,PolyTPD,AgAl,44.097445062843924,0,60.0-30.0,0.9156070418690236
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,PbI2; PbBr2,Phenylethyl ammonium iodide,Spin-coating,0.8706849960678972,Chlorobenzene,PTAA,F8BT,AgAl,223.04278135937844,0,60; 100-0.5; 5.0,0.9154400978585459
pin,SLG | FTO,PCBM-60,DMBI,Spin-coating,NH4Cl,Cs,Spin-coating,0.7752982104026609,Diethyl ether,PTAA,TAPC,Ag,149.8720535051018,0,100.0-105.0,0.9151971993954013
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,Pb,PbC2N2S2,Spin-coating,0.9156432443506023,Chlorobenzene,PTAA,F8BT,AgAl,357.4919845910503,0,100.0-60.0,0.9150508086460528
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbAc2,MACSN,Spin-coating,0.8116024091110455,Chlorobenzene,PTAA,F4-TCNQ,Al,71.6328109179607,0,100.0-95.0,0.9149155785012707
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,Stoichiometric,SA-1,Spin-coating,0.8745182525224745,Chlorobenzene,PTAA,F8BT,AgAl,470.5650752992998,0,60; 100-1.0; 2.0,0.9148701255325047
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,NH4Cl,NH4I,Spin-coating,0.808896802039352,Chlorobenzene,PTAA,PolyTPD,Al,140.88929134880885,0,100.0-4.0,0.9146113078685988
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,PbI2,EtOH,Spin-coating,0.8427534240558098,Diethyl ether,PTAA,F8BT,Ca | Al,108.1763441459399,0,60; 100-2.0; 5.0,0.9144361679633441
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,PbCl2,Phenylethylammonium iodide,Spin-coating,0.9219045666462671,Diethyl ether,PTAA,F8BT,Ca | Al,523.6055224172072,0,100.0-4.0,0.9142900628861778
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,Pb,NH4I,Spin-coating >> CBD,0.72559834836489,Chlorobenzene,PTAA,PolyTPD,AgAl,150.22165614677294,0,100.0-60.0,0.9142141697620217
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,PbAc2,CuSCN,Spin-coating,0.8422720186326864,Chlorobenzene,PTAA,TAPC,AgAl,123.46362495399431,0,100.0-240.0,0.913818777786519
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,Pb,P123,Spin-coating,0.8039003933569026,Chlorobenzene,PTAA,PolyTPD,Ag,355.70997520766156,0,105.0-90.0,0.9138088724909005
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,PbI2,TDZDT,Spin-coating,0.969563483259703,Chlorobenzene,PTAA,NPB,AgAl,320.7797495801075,0,65.0-270.0,0.9136543715991049
pin,SLG | FTO,PCBM-60 | BCP,,Spin-coating | Spin-coating,PbI2,Phenylethylammonium iodide,Spin-coating >> CBD,0.7917918883939662,Diethyl ether,PTAA,F4-TCNQ,Ag,54.082297417122305,0,100.0-20.0,0.913351792683597
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Evaporation,PbCl2,ITIC,Spin-coating,0.7757278818002733,Chlorobenzene,PTAA,PolyTPD,Ag,145.25714891734262,0,105-10.0,0.9132870043481551
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,PbCl2,PAA,Spin-coating,0.7766859896805829,Diethyl ether,PTAA,F4-TCNQ,AgAl,323.10933019121234,0,65.0-1.0,0.913223932428767
pin,SLG | FTO,PCBM-60 | ZnO-np,Undoped,Spin-coating | Spin-coating,Pb,P123,Spin-coating,0.7139267753176363,Chlorobenzene,PTAA,F8BT,AgAl,114.05572667094263,0,100.0-144.0,0.9126880043183144
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,Pb,PMA,Spin-coating,0.49691655167802623,Diethyl ether,PTAA,PolyTPD,AgAl,73.47141963092301,0,100.0-25.0,0.9123081025784959
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,Butanediaminedihydroiodide,Spin-coating,0.9004107738835505,Chlorobenzene,PTAA,NPB,AgAl,90.99326571817568,0,65.0; 100.0-1.0; 5.0,0.9121965308009705
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,NH4Cl,Cl; NiO-np,Spin-coating,0.7263389196476706,Chlorobenzene,PTAA,NPB,AgAl,133.18658875217167,0,105.0-45.0,0.9113112997626591
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,Pb,Cl; NiO-np,Spin-coating,0.7301458034817945,Chlorobenzene,PTAA,PolyTPD,AgAl,127.13236569165406,0,105.0-40.0,0.9111927181375159
pin,SLG | FTO,PCBM-60,Stearic acid; EDA,Spin-coating,PbCl2,HATNA,Spin-coating,0.8536046776846999,Diethyl ether,PTAA,NPB,AgAl,314.4221639311751,0,100.0-95.0,0.911158699448543
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2,TDZDT,Spin-coating,0.5276566785819774,Chlorobenzene,PTAA,PolyTPD,AgAl,101.34509396364102,0,100.0; 100-10.0; 15.0,0.9108106209158321
pin,SLG | FTO,PCBM-60,TBAPF6,Spin-coating,Pb,Phenylethylammonium iodide,Spin-coating,0.7533023295659887,Diethyl ether,PTAA,F8BT,AgAl,410.1211095889743,0,100.0-35.0,0.9105376218391996
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,PbI2; PbBr2,Carbon-np,Spin-coating,0.8782862761037616,Toluene,PTAA,F8BT,AgAl,23.043977651535535,0,65.0-270.0,0.9104300375209861
pin,SLG | FTO,PCBM-60,DBU,Spin-coating,PbAc2,Methimazole,Spin-coating,0.7859597647399084,Diethyl ether,PTAA,NPB,Ag,396.053162024829,0,100.0-4.0,0.910388662778448
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbAc2,NH4I,Spin-coating,0.7270195049314792,Chlorobenzene,PTAA,PolyTPD,AgAl,33.0084286280489,0,100.0; 140.0-15.0; 60.0,0.9103060537645791
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,PbI2; PbBr2,Rhodanina,Spin-coating,0.9119404849127607,Chlorobenzene,PTAA,F8BT,AgAl,392.49703495281483,0,65.0-2.0,0.9103029717620238
pin,SLG | FTO,PCBM-60 | BCP,DMOPA ,Spin-coating | Spin-coating,PbI2; PbBr2,PEG-[60]fullerenes,Spin-coating,0.7891513455083603,Chlorobenzene,Spiro-MeOTAD,Li-TFSI; TBP,MoO3 | Ag,75.91719243919475,0,135.0-5.0,0.9099412671265115
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,PU,Spin-coating,0.9240181222674806,Diethyl ether,PTAA,Undoped,AgAl,57.79948359105721,0,100.0-12.0,0.9097719607585801
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,PbAc2,Butylamineiodide,Spin-coating,0.9374226267170569,Chlorobenzene,PTAA,PolyTPD,AgAl,103.57357759629696,0,100.0-80.0,0.9097631128919185
pin,SLG | FTO,PCBM-60,PFNOX,Spin-coating,Pb,MA,Spin-coating,0.7682207791831271,Diethyl ether,PTAA,TAPC,Ag,151.00621606431037,0,100.0-150.0,0.909438938345298
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,NH4Cl,TDZT,Spin-coating,0.7664994434589695,Chlorobenzene,PTAA,PolyTPD,AgAl,304.4723440035909,0,100.0-95.0,0.909431353589166
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,BaAc2,Spin-coating,0.9028792606202405,Chlorobenzene,PTAA,TAPC,AgAl,14.654094539653343,0,60.0-120.0,0.909404005044369
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,PbI2,Polyurethane,Spin-coating,0.7941405533694118,Chlorobenzene,PTAA,NPB,AgAl,147.4839168189411,0,100; 120-100.0; 20.0,0.9092266829746222
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,FABr,Spin-coating >> Spin-coating,0.9283589298200917,Chlorobenzene,PTAA,PolyTPD,AgAl,94.19987709120669,0,60; 100-15.0; 30.0,0.9092048974191195
